Tolerance,Size,Run,Dimension,Similarity,Happy_proportion,Coherence,Group1_similarity,Group2_similarity
0.25,0.01,64,1,0.9870951663569038,0.99,0,0.025977594,0.9968034246604388
0.25,0.01,65,1,0.9868028480519044,0.99,0,0.020853776,0.9965599093864772
0.25,0.01,66,1,0.9868545888715404,0.99,0,0.021412947342600002,0.9966065246445601
0.25,0.01,67,1,0.9871517136162333,0.99,0,0.026577741592228525,0.9968544810104153
0.25,0.01,68,1,0.986952855,0.99,0,0.024384736,0.9966757653112152
0.25,0.01,69,1,0.9871522391872435,0.99,0,0.017643549276296733,0.996945256
0.25,0.01,70,1,0.9868212157284276,0.99,0,0.011072703308190376,0.9966772613084302
0.25,0.01,71,1,0.9872246318783976,0.99,0,0.041917607,0.9967731876802045
0.25,0.01,72,1,0.9867773056265665,0.99,0,0.032010513,0.9964214146414091
0.25,0.01,73,1,0.9871987723962998,0.99,0,0.022134146341463413,0.9969468999322072
0.25,0.01,74,1,0.9867444598830191,0.99,0,0.012286548544833274,0.9965874690884553
0.25,0.01,75,1,0.9868380787578594,0.99,0,0.035439663,0.996448164
0.25,0.01,76,1,0.9870460745884619,0.99,0,0.025705655107333848,0.9967565838761501
0.25,0.01,77,1,0.9872284074547029,0.99,0,0.044055914,0.9967554023366806
0.25,0.01,78,1,0.986976116,0.99,0,0.029417261342348445,0.996648428
0.25,0.01,79,1,0.9871137738912754,0.99,0,0.018396346,0.9968987984133972
0.25,0.01,80,1,0.9870842568109187,0.99,0,0.037362528,0.9966774055870266
0.25,0.01,81,1,0.9869837462153329,0.99,0,0.030652715,0.9966436556225929
0.25,0.01,82,1,0.9867766716191286,0.99,0,0.024537729859478392,0.9964962568894281
0.25,0.01,83,1,0.9869350928776229,0.99,0,0.024351468757737922,0.9966581597879248
0.25,0.01,84,1,0.9870618954723858,0.99,0,0.025683031445259553,0.9967727930888213
0.25,0.01,85,1,0.9869353779373177,0.99,0,0.02067277,0.9966956062986523
0.25,0.01,86,1,0.9868311092222722,0.99,0,0.029796439488045938,0.9964981260882745
0.25,0.01,87,1,0.9870261010922791,0.99,0,0.036070397,0.9966317142616277
0.25,0.01,88,1,0.9871001511231681,0.99,0,0.024890313883507303,0.9968194424084172
0.25,0.01,89,1,0.9875806487801511,0.99,0,0.045872283,0.9970928544945004
0.25,0.01,90,1,0.9871722294512135,0.99,0,0.030031315519561987,0.9968403194909271
0.25,0.01,91,1,0.9872493811983079,0.99,0,0.035091545,0.9968671371200334
