Group1_tolerance,Group2_tolerance,Run,Dimension,Similarity,Happy_proportion,Coherence,Group1_similarity,Group2_similarity
0.5,0.9,45,1,0.9001789816780551,1.0,141,0.5101804232657065,0.9690022566919994
0.5,0.9,46,1,0.9010325036711498,1.0,124,0.5120502826736182,0.9696764250236563
0.5,0.9,47,1,0.9007592453455359,1.0,133,0.5116215604930716,0.9694306014959718
0.5,0.9,48,1,0.8990256949144114,1.0,147,0.5073632399402711,0.968142598733378
0.5,0.9,49,1,0.9003016429307097,1.0,121,0.51093311484772,0.9690137361218263
0.5,0.9,50,1,0.9008521133980776,1.0,136,0.513038570678901,0.969289797407344
0.5,0.9,51,1,0.8994729314112895,1.0,119,0.5082566661776948,0.9685110958642773
0.5,0.9,52,1,0.9003735798512142,1.0,133,0.5113292551786185,0.9690284606757906
0.5,0.9,53,1,0.8997882716242496,1.0,125,0.5106697062524984,0.9684562537486766
0.5,0.9,54,1,0.8994039956162316,1.0,129,0.5088419529544189,0.9683267090271396
0.5,0.9,55,1,0.9001002205906404,1.0,144,0.5112373347590848,0.9687230827962102
0.5,0.9,56,1,0.9003833602519594,1.0,124,0.5113521393794941,0.9690359286412181
0.5,0.9,57,1,0.8997805148364569,1.0,130,0.5090433038025834,0.9687341403130237
0.5,0.9,58,1,0.8994611609340611,1.0,133,0.5105591883557851,0.9680909208008164
0.5,0.9,59,1,0.8997630129700626,1.0,120,0.5105721271021699,0.9684437575349857
0.5,0.9,60,1,0.8998763222382793,1.0,127,0.5105791242221331,0.9685758277705414
0.5,0.9,61,1,0.9003327707533156,1.0,132,0.5109812625757312,0.9690418604317129
0.5,0.9,62,1,0.9003038190446332,1.0,168,0.5123566056911131,0.968765091989373
0.5,0.9,63,1,0.9004634812392915,1.0,199,0.5119952188468727,0.969016704014426
0.5,0.9,64,1,0.9000092093698032,1.0,126,0.5095245535102894,0.9689182662861885
0.5,0.9,65,1,0.9002955936235125,1.0,148,0.5097110560301973,0.9692222767282159
0.5,0.9,66,1,0.9006013263578524,1.0,119,0.5111469620878143,0.9693285671113893
0.5,0.9,67,1,0.9006085449973905,1.0,185,0.5121821315293253,0.9691543826682267
0.5,0.9,68,1,0.9005808769242388,1.0,145,0.511375767075093,0.9692641316035008
0.5,0.9,69,1,0.8997536127435728,1.0,128,0.5086007807450488,0.9687805830962541
0.5,0.9,70,1,0.8994756729818749,1.0,131,0.5089508156589025,0.9683918242741646
0.5,0.9,71,1,0.9005202760438866,1.0,135,0.5133547685699865,0.9688436008922235
0.5,0.9,72,1,0.8999256967569244,1.0,117,0.509328115527071,0.9688546816798405
0.5,0.9,73,1,0.8996346366140375,1.0,138,0.5090262527647488,0.9685655278815597
0.5,0.9,74,1,0.9003903836559997,1.0,138,0.5096500268942105,0.969344564261022
0.5,0.9,75,1,0.9005177505251861,1.0,157,0.5122034587679982,0.9690438020117496
0.5,0.9,76,1,0.9000499135218625,1.0,138,0.5100564985443573,0.9688722808708349
0.5,0.9,77,1,0.8997930980803454,1.0,118,0.5099809192937902,0.9685834825720909
0.5,0.9,78,1,0.900375815168976,1.0,147,0.5112888257075869,0.9690382250739273
0.5,0.9,79,1,0.9000999705115148,1.0,131,0.510418161724351,0.9688673485327798
0.5,0.9,80,1,0.8990933904235634,1.0,136,0.50887598198763,0.9679552860299052
0.5,0.9,81,1,0.8998030271246673,1.0,138,0.509193524202017,0.9687341158757234
0.5,0.9,82,1,0.9006207092445724,1.0,150,0.5129887425306102,0.9690263504293897
0.5,0.9,83,1,0.900453902293735,1.0,137,0.5100604397692574,0.9693468662686435
0.5,0.9,84,1,0.9003156639239664,1.0,166,0.5105872488000818,0.9690912665928875
0.5,0.9,85,1,0.9001877302078237,1.0,142,0.5112050774565365,0.9688317277521689
0.5,0.9,86,1,0.9000290776753845,1.0,161,0.5108344360001799,0.9687104850298335
0.5,0.9,87,1,0.9008748461963101,1.0,159,0.5117836198722207,0.9695380037829158
0.5,0.9,88,1,0.900678047601561,1.0,157,0.5109935405288879,0.9694459017908567
0.5,0.9,89,1,0.9004607181852804,1.0,118,0.5119499737525242,0.9690214377910622
0.5,0.9,90,1,0.8992981084148751,1.0,112,0.5092213286277203,0.9681351872008446
0.5,0.9,91,1,0.8999962275502228,1.0,138,0.5110906294444051,0.9686266272159559
0.5,0.9,92,1,0.9012250687655791,1.0,129,0.5125579047399836,0.9698133918289205
0.5,0.9,93,1,0.9004228339300712,1.0,157,0.5105450042698988,0.9692248038701023
0.5,0.9,94,1,0.8995592950177088,1.0,133,0.5087912021231531,0.9685183702343965
0.5,0.9,95,1,0.9000746255722988,1.0,121,0.511047717387223,0.9687264328990777
0.5,0.9,96,1,0.9006951692552827,1.0,114,0.5126635303089335,0.9691713408340513
0.5,0.9,97,1,0.900302470616286,1.0,150,0.5117560769890579,0.9688694812563861
0.5,0.9,98,1,0.9002460245934113,1.0,124,0.5111042472828505,0.968918102942335
0.5,0.9,99,1,0.9001062774328381,1.0,139,0.5108356901120191,0.968801086960042
0.5,0.9,100,1,0.9004546775293429,1.0,139,0.5118429571549882,0.9690332164189351
0.5,0.5,1,1,0.9004771208473815,1.0,175,0.5111869175923377,0.9691753920100372
0.5,0.5,2,1,0.9001668133385339,1.0,217,0.5117736922182905,0.9687067758891663
0.5,0.5,3,1,0.9003406507141312,1.0,182,0.5101188734522207,0.9692033172897633
0.5,0.5,4,1,0.8998597366549641,1.0,196,0.5109096867647067,0.9684979807532453
0.5,0.5,5,1,0.8997940648916073,1.0,222,0.5109309927337772,0.9684169599782846
0.5,0.5,6,1,0.899964427959013,1.0,194,0.5102841998145335,0.9687315270433333
0.5,0.5,7,1,0.9006378799966803,1.0,212,0.5132050609013906,0.9690083774840853
0.5,0.5,8,1,0.9000342632987096,1.0,210,0.5112845557100049,0.9686371528731879
0.5,0.5,9,1,0.9002167585196971,1.0,180,0.5118522721145882,0.9687516678853051
0.5,0.5,10,1,0.8998766506589089,1.0,219,0.5098885233244608,0.9686980848943995
0.5,0.5,11,1,0.9000044293474718,1.0,172,0.5108474277042099,0.9686791943433422
0.5,0.5,12,1,0.9003033630976716,1.0,159,0.5110413229345856,0.9689966643029227
0.5,0.5,13,1,0.9006419566839801,1.0,184,0.5137857606141253,0.9689106971668965
0.5,0.5,14,1,0.9011067498500774,1.0,177,0.513640247828634,0.9694831913832739
0.5,0.5,15,1,0.9000813155068047,1.0,171,0.5118452875173709,0.9685935557402348
0.5,0.5,16,1,0.9001474959403698,1.0,156,0.5122229067444342,0.9686047763867124
0.5,0.5,17,1,0.8997953032198783,1.0,181,0.5096214666586646,0.9686495096718576
0.5,0.5,18,1,0.8993870372821917,1.0,188,0.5103664921774792,0.9680377217124356
0.5,0.5,19,1,0.9008977705225697,1.0,162,0.5142064202616987,0.9691374205686062
0.5,0.5,20,1,0.9004576409810585,1.0,166,0.5105019730093758,0.9692733470937093
0.5,0.5,21,1,0.8998313456425926,1.0,168,0.5095836659206263,0.9686985832405871
0.5,0.5,22,1,0.9006839949359974,1.0,166,0.5116553698539489,0.9693361052445947
0.5,0.5,23,1,0.8997498004167327,1.0,183,0.510222782011694,0.9684898624882107
0.5,0.5,24,1,0.8997489833993104,1.0,171,0.509218643538788,0.9686661021982271
0.5,0.5,25,1,0.9008017716954493,1.0,188,0.512936795820046,0.9692485321440507
0.5,0.5,26,1,0.9003292010322054,1.0,189,0.5102353807662592,0.9691692869614904
0.5,0.5,27,1,0.8998400229743828,1.0,173,0.5109727178036413,0.968463665063338
0.5,0.5,28,1,0.8993500252906501,1.0,175,0.5090861466907618,0.9682201215141607
0.5,0.5,29,1,0.9002804193102361,1.0,174,0.511324270823456,0.9689197396314335
0.5,0.5,30,1,0.8995547817277696,1.0,216,0.5099772045035369,0.9683037659438116
0.5,0.5,31,1,0.90083671289897,1.0,178,0.5120899774107733,0.9694390779851233
0.5,0.5,32,1,0.9006774089101309,1.0,171,0.5119092310817623,0.9692835579386672
0.5,0.5,33,1,0.899878673661297,1.0,185,0.5105659505563533,0.9685809189151112
0.5,0.5,34,1,0.900007868692575,1.0,196,0.5121473061020779,0.968453850326193
0.5,0.5,35,1,0.900521642122019,1.0,177,0.5116037081229785,0.9691542187100858
0.5,0.5,36,1,0.8993873600612163,1.0,178,0.5090653969311723,0.9682677064959315
0.5,0.5,37,1,0.9003993102923306,1.0,173,0.5117139724193129,0.9689908405052172
0.5,0.5,38,1,0.9004880556815539,1.0,166,0.5123263124800724,0.968987186834757
0.5,0.5,39,1,0.8992513197870328,1.0,169,0.5084884231154201,0.9682094780232
0.5,0.5,40,1,0.9005398511021487,1.0,173,0.5115533297306035,0.9691845313441863
0.5,0.5,41,1,0.9001398813551564,1.0,203,0.5117939423243071,0.9686715176547189
0.5,0.5,42,1,0.8999779057449541,1.0,184,0.5101233887420134,0.968775761686651
0.5,0.5,43,1,0.9002304325633809,1.0,214,0.5119224812266168,0.9687553651522226
0.5,0.5,44,1,0.8999607110857353,1.0,179,0.5107711858331317,0.9686412155420779
0.5,0.5,45,1,0.9001360968163339,1.0,184,0.5106077213816679,0.9688763983636288
0.5,0.5,46,1,0.8990178291125344,1.0,171,0.5082889070297519,0.9679699918330262
0.5,0.5,47,1,0.899851041604593,1.0,186,0.5108266691052495,0.9685024014574193
0.5,0.5,48,1,0.9003915790332138,1.0,190,0.510997552491903,0.9691081719522687
0.5,0.5,49,1,0.899922502505321,1.0,166,0.511074251281693,0.968542782133021
0.5,0.5,50,1,0.8995952972693363,1.0,199,0.5108272044429789,0.968201431297518
0.5,0.5,51,1,0.8998082128057301,1.0,158,0.5096891102727091,0.9686527603115584
0.5,0.5,52,1,0.8994033837859714,1.0,170,0.5082740761984733,0.9684262027720011
0.5,0.5,53,1,0.9002772331602592,1.0,178,0.5122804792134881,0.968747248562632
0.5,0.5,54,1,0.9009129378588783,1.0,176,0.5132442339798559,0.9693250620728245
0.5,0.5,55,1,0.900863261717291,1.0,219,0.5140692472187541,0.9691210289817398
0.5,0.5,56,1,0.9003045541909258,1.0,180,0.5124101276358863,0.9687565118182866
0.5,0.5,57,1,0.8998935682006092,1.0,241,0.5103535319014252,0.9686359275475245
0.5,0.5,58,1,0.9000522542759526,1.0,203,0.5110296084993132,0.9687033094130076
0.5,0.5,59,1,0.9007596822671067,1.0,185,0.5133347913165501,0.9691287806701465
0.5,0.5,60,1,0.8992214419926466,1.0,170,0.5099856737307039,0.9679101069800494
0.5,0.5,61,1,0.9011363492551476,1.0,169,0.5117334569741896,0.9698545067164942
0.5,0.5,62,1,0.9005439388656297,1.0,194,0.5133641863990128,0.9688697775362103
0.5,0.5,63,1,0.900424061790059,1.0,175,0.5115805549810988,0.969043504168111
0.5,0.5,64,1,0.9002177425916786,1.0,183,0.5106630816447314,0.9689626827587886
0.5,0.5,65,1,0.8997433369783295,1.0,170,0.5113517065638573,0.9682830364632377
0.5,0.5,66,1,0.9003159646601384,1.0,211,0.5112493522404034,0.9689747786165628
0.5,0.5,67,1,0.9000130917476098,1.0,167,0.510496709174811,0.9687512769075166
0.5,0.5,68,1,0.8996394983022977,1.0,171,0.5102744739871611,0.9683509731814404
0.5,0.5,69,1,0.9010066829739265,1.0,175,0.5123269278945117,0.9695972279879418
0.5,0.5,70,1,0.9000593544706282,1.0,189,0.5101051720193068,0.9688747984326266
0.5,0.5,71,1,0.8996123513643155,1.0,187,0.509226790053477,0.9685039210074053
0.5,0.5,72,1,0.9002425236370046,1.0,160,0.5112702168899045,0.9688846954159048
0.5,0.5,73,1,0.8998791573564424,1.0,203,0.51020754294775,0.9686447363697417
0.5,0.5,74,1,0.8996762652956573,1.0,170,0.5101788782406363,0.9684110983053676
0.5,0.5,75,1,0.9001897628840025,1.0,192,0.5110635175262135,0.9688591003000839
0.5,0.5,76,1,0.9001709992757031,1.0,208,0.512717405710853,0.9685451628459714
0.5,0.5,77,1,0.8997633354737687,1.0,201,0.5099631330459042,0.9685516064904517
0.5,0.5,78,1,0.900374084057438,1.0,192,0.5117762165071967,0.9689501783310112
0.5,0.5,79,1,0.8989721541665524,1.0,175,0.5100994668379697,0.9675967460480677
0.5,0.5,80,1,0.9008884881571616,1.0,209,0.5134597868065669,0.969258258983738
0.5,0.5,81,1,0.9000970165928216,1.0,162,0.5086244006897632,0.9691804193992445
