g1_t,g2_t,Run,Dimension,Similarity,Happy_proportion,Coherence,Group1_similarity,Group2_similarity
0.5,0.9,66,1,0.9005467134363736,1,134,0.5119433569790172,0.9691237763406139
0.5,0.9,67,1,0.8997144082942623,1,143,0.5108183118423286,0.9683431311975448
0.5,0.9,68,1,0.8999794198485279,1,139,0.5114520254004703,0.9685430776923034
0.5,0.9,69,1,0.8999999785849535,1,133,0.5099044522193349,0.9688403655906517
0.5,0.9,70,1,0.9007882589001196,1,131,0.5126640746584108,0.9692807620015989
0.5,0.9,71,1,0.900105977,1,156,0.5091286821431751,0.9691019700725088
0.5,0.9,72,1,0.9000197877983408,1,144,0.5115758051211065,0.9685687259178533
0.5,0.9,73,1,0.8995957865915162,1,144,0.5108098568553365,0.9682050683096662
0.5,0.9,74,1,0.899214566,1,116,0.5080381618557074,0.9682456961368748
0.5,0.9,75,1,0.8992807241893908,1,143,0.5084033887612168,0.9682590775002463
0.5,0.9,76,1,0.8999517945835585,1,128,0.5104732595227022,0.9686833007707696
0.5,0.9,77,1,0.9006543953301903,1,125,0.5118869284482179,0.9692604188975985
0.5,0.9,78,1,0.8999732754782569,1,125,0.5094901953413684,0.9688820543259442
0.5,0.9,79,1,0.9009063179982232,1,157,0.5137285185224204,0.9692318120233663
0.5,0.9,80,1,0.9004388659806295,1,144,0.5119515370789712,0.9689954534338645
0.5,0.9,81,1,0.9003586975421933,1,139,0.511825147,0.9689234416881813
0.5,0.9,82,1,0.90052125,1,174,0.5118656041131192,0.9691075399046649
0.5,0.9,83,1,0.8997882940891635,1,180,0.5102276283718324,0.9685342939216345
0.5,0.9,84,1,0.9007088520060167,1,145,0.5124955818920018,0.9692170761437846
0.5,0.9,85,1,0.9003219536599159,1,127,0.5096344848760449,0.9692668010923634
0.5,0.9,86,1,0.9000799933046252,1,140,0.5099952558845128,0.9689184763787635
0.5,0.9,87,1,0.8998304300028371,1,139,0.5109205227688162,0.9684615901029586
0.5,0.9,88,1,0.9008405548925821,1,120,0.5125899676447693,0.9693553644069032
0.5,0.9,89,1,0.9002710162367209,1,143,0.5117392473371851,0.9688354460425224
0.5,0.9,90,1,0.8996134950343909,1,158,0.5109930302035115,0.9681935770633714
0.5,0.9,91,1,0.9001294485012019,1,187,0.5117959653682558,0.9686588867011341
0.5,0.9,92,1,0.8995830818846511,1,127,0.5094471254531897,0.9684306036078505
0.5,0.9,93,1,0.9004584750026282,1,138,0.5115648443186456,0.9690867627703902
0.5,0.9,94,1,0.9001145920072154,1,122,0.5114164555841973,0.9687083807877493
0.5,0.9,95,1,0.9010846674935408,1,105,0.5128100647878635,0.9696037150298382
0.5,0.9,96,1,0.9000785273553791,1,163,0.5095917751816696,0.9689879542095644
0.5,0.9,97,1,0.8996491943339034,1,139,0.5102457325380662,0.9683674522978758
0.5,0.9,98,1,0.9004196832727503,1,132,0.5117903341291296,0.9690013331216252
0.5,0.9,99,1,0.901315837,1,139,0.5126463141572806,0.9699045758004692
0.5,0.9,100,1,0.9012854766755686,1,124,0.513323003,0.9697494425862213
0.9,0.5,1,1,0.9812630818278048,1,290,0.906587272,0.9944411660012579
0.9,0.5,2,1,0.9812784184271472,1,274,0.9066786913154053,0.9944430761527494
0.9,0.5,3,1,0.9812925027381513,1,296,0.9068443946792206,0.9944304041603158
0.9,0.5,4,1,0.9811756603737956,1,275,0.9060707620770779,0.9944294659555699
