g1_t,g2_t,Run,Dimension,Similaity_ratio,Happy_proportion,Coherence,g1_similarity,g2_similarity
0.9,0.1,20.0,2.0,0.9057678,1.0,95.0,903.40906,908.1265
0.5,0.1,21.0,1.0,0.5160979,1.0,36.0,514.2531,517.9427
0.9,0.1,21.0,2.0,0.90551704,1.0,93.0,903.164,907.87006
0.5,0.1,22.0,1.0,0.51541615,1.0,35.0,514.01196,516.8204
0.9,0.1,22.0,2.0,0.9056832,1.0,86.0,903.20215,908.1643
0.5,0.1,23.0,1.0,0.51571155,1.0,32.0,512.91815,518.50494
0.9,0.1,23.0,2.0,0.90571964,1.0,92.0,903.16394,908.2753
0.5,0.1,24.0,1.0,0.51740277,1.0,40.0,513.6553,521.15027
0.9,0.1,24.0,2.0,0.90523654,1.0,93.0,903.2428,907.2303
0.5,0.1,25.0,1.0,0.5148868,1.0,39.0,512.11884,517.6547
0.9,0.1,25.0,2.0,0.90559494,1.0,93.0,903.516,907.67395
0.5,0.1,26.0,1.0,0.5144646,1.0,40.0,512.0897,516.83954
0.9,0.1,26.0,2.0,0.90507644,1.0,89.0,903.1879,906.9649
0.5,0.1,27.0,1.0,0.51487076,1.0,37.0,513.6778,516.0638
0.9,0.1,27.0,2.0,0.9053008,1.0,90.0,902.9641,907.6374
0.5,0.1,28.0,1.0,0.51445514,1.0,41.0,513.4782,515.43207
0.9,0.1,28.0,2.0,0.90561944,1.0,96.0,903.007,908.2319
0.5,0.1,29.0,1.0,0.5162942,1.0,35.0,514.38916,518.19916
0.9,0.1,29.0,2.0,0.90549964,1.0,91.0,903.326,907.67334
0.5,0.1,30.0,1.0,0.5147266,1.0,42.0,514.0684,515.3848
0.9,0.1,30.0,2.0,0.9048808,1.0,89.0,903.1878,906.57385
0.5,0.1,31.0,1.0,0.51613027,1.0,36.0,513.2837,518.97687
0.9,0.1,31.0,2.0,0.90561765,1.0,89.0,903.44946,907.7859
0.5,0.1,32.0,1.0,0.5156108,1.0,46.0,513.9696,517.252
0.9,0.1,32.0,2.0,0.9049832,1.0,90.0,903.3702,906.59625
0.5,0.1,33.0,1.0,0.5152683,1.0,32.0,512.70685,517.82983
0.9,0.1,33.0,2.0,0.9054281,1.0,88.0,902.9027,907.9535
0.5,0.1,34.0,1.0,0.515487,1.0,36.0,514.849,516.12506
0.9,0.1,34.0,2.0,0.90554816,1.0,95.0,903.1741,907.9222
0.5,0.1,35.0,1.0,0.51427484,1.0,34.0,511.68533,516.8644
