Tolerance,Run,Dimension,Similaity_ratio,Happy_proportion,Coherence
0.25,35.0,1.0,0.5033982,1.0,1.0
0.25,36.0,1.0,0.49848825,1.0,1.0
0.25,37.0,1.0,0.5017708,1.0,1.0
0.25,38.0,1.0,0.49966845,1.0,1.0
0.25,39.0,1.0,0.49985558,1.0,1.0
0.25,40.0,1.0,0.50132143,1.0,1.0
0.25,41.0,1.0,0.50039715,1.0,1.0
0.25,42.0,1.0,0.5000775,1.0,1.0
0.25,43.0,1.0,0.4997917,1.0,1.0
0.25,44.0,1.0,0.5009914,1.0,1.0
0.25,45.0,1.0,0.5027048,1.0,1.0
0.25,46.0,1.0,0.5019655,1.0,1.0
0.25,47.0,1.0,0.4981428,1.0,1.0
0.25,48.0,1.0,0.49788356,1.0,1.0
0.25,49.0,1.0,0.49928197,1.0,1.0
0.25,50.0,1.0,0.4988687,1.0,1.0
0.25,51.0,1.0,0.49864268,1.0,1.0
0.25,52.0,1.0,0.5022414,1.0,1.0
0.25,53.0,1.0,0.49957135,1.0,1.0
0.25,54.0,1.0,0.50067943,1.0,1.0
0.25,55.0,1.0,0.5022721,1.0,1.0
0.25,56.0,1.0,0.49760544,1.0,1.0
0.25,57.0,1.0,0.4994109,1.0,1.0
0.25,58.0,1.0,0.49554813,1.0,1.0
0.25,59.0,1.0,0.49935323,1.0,1.0
0.25,60.0,1.0,0.500916,1.0,1.0
0.25,61.0,1.0,0.4958658,1.0,1.0
0.25,62.0,1.0,0.501996,1.0,1.0
0.25,63.0,1.0,0.5002856,1.0,1.0
0.25,64.0,1.0,0.4987248,1.0,1.0
0.25,65.0,1.0,0.4981909,1.0,1.0
0.25,66.0,1.0,0.4999203,1.0,1.0
0.25,67.0,1.0,0.49943146,1.0,1.0
0.25,68.0,1.0,0.5006834,1.0,1.0
0.25,69.0,1.0,0.4986777,1.0,1.0
0.25,70.0,1.0,0.4992309,1.0,1.0
0.25,71.0,1.0,0.49798977,1.0,1.0
0.25,72.0,1.0,0.49897698,1.0,1.0
0.25,73.0,1.0,0.49789336,1.0,1.0
0.25,74.0,1.0,0.49927434,1.0,1.0
0.25,75.0,1.0,0.49989048,1.0,1.0
0.25,76.0,1.0,0.5004841,1.0,1.0
0.25,77.0,1.0,0.5004468,1.0,1.0
0.25,78.0,1.0,0.49760842,1.0,1.0
0.25,79.0,1.0,0.49961346,1.0,1.0
0.25,80.0,1.0,0.49756783,1.0,1.0
0.25,81.0,1.0,0.49883178,1.0,1.0
0.25,82.0,1.0,0.49797264,1.0,1.0
0.25,83.0,1.0,0.4973769,1.0,1.0
0.25,84.0,1.0,0.5001456,1.0,1.0
0.25,85.0,1.0,0.49686125,1.0,1.0
0.25,86.0,1.0,0.4969014,1.0,1.0
0.25,87.0,1.0,0.49845964,1.0,1.0
0.25,88.0,1.0,0.49973115,1.0,1.0
